customer_id,recency,frequency,monetary
1,792,1,472.4500122
2,136,4,1618.66004179
3,229,5,3189.20003702
4,380,4,1480.70999322
5,457,3,1101.91999814
6,646,4,2954.32003014
7,220,7,4869.64007194
8,126,8,3411.27000812
9,140,5,2947.46006969
10,307,2,1130.05000676
11,371,4,2159.28000637
12,255,8,5553.77004634
13,193,4,2814.86001884
14,158,7,2159.24003985
15,420,1,226.18000031999998
16,123,6,2169.97002785
17,284,5,3882.8100891
18,405,6,3255.3200149
19,464,8,3993.23001889
20,291,4,1508.6800307
21,295,4,2517.67000968
22,387,5,2515.20003894
23,501,6,3683.32999017
24,684,4,2500.63000503
25,641,2,791.3900069599999
26,190,5,2998.90007785
27,301,4,1839.90999985
28,296,4,1961.56999982
29,354,2,1237.6800308
30,580,2,999.20001509
31,527,6,3358.11000065
32,326,5,3082.2800350899997
33,779,2,1183.87001423
34,132,7,2687.99003996
35,402,4,2115.82003783
36,167,2,1215.1799925999999
37,176,3,1213.26999274
38,332,6,2420.51004416
39,234,5,2719.75004955
40,151,7,4634.46003745
41,136,4,2698.4100552
42,247,7,2938.27001182
43,215,2,1098.4800109
44,322,6,2609.54003521
45,217,5,3006.54006197
46,352,5,3521.92005554
47,621,1,615.8600006
48,171,4,3268.6800385
49,628,3,1226.7800064
50,250,4,1866.28002163
51,268,7,4116.67003649
52,137,4,1758.3500137
53,476,6,4357.05006795
54,156,5,2714.00002298
55,129,6,4162.3200072
56,157,5,2245.77000047
57,456,5,1887.7700232500001
58,209,8,5955.06004358
59,386,6,1715.66001129
60,425,3,1691.59998702
61,598,3,1495.42001348
62,312,4,1572.33001706
63,148,4,1600.00002294
64,620,3,1239.7300339
65,194,6,3593.8600502199997
66,490,5,3353.17005919
67,224,2,1757.31004342
68,535,3,1474.60002517
69,137,5,1393.2400036899999
70,133,5,3060.52004613
71,565,7,2636.68002513
72,191,6,4608.29005818
73,700,4,2474.4500388799997
74,159,5,3080.50000767
75,198,4,2392.27004248
76,424,5,2890.74003602
77,221,7,2834.03005407
78,527,1,296.1600036
79,364,5,3504.78006752
80,224,4,1960.19001386
81,450,1,392.77001192
82,415,4,2420.28004469
83,374,4,2504.070015
84,124,4,2608.95001586
85,400,4,1738.32001508
86,407,5,1268.08002084
87,848,3,2135.6200257
88,207,5,2233.48999587
89,532,4,1223.62000651
90,305,5,2776.81003573
91,360,4,2966.73003385
92,249,6,2521.78996281
93,417,5,1880.64002624
94,149,5,2425.03002163
95,301,7,3014.89006057
96,132,4,2552.83004772
97,247,4,2275.85001761
98,158,7,3987.73002989
99,157,6,2551.42003258
100,186,6,3803.08006272
101,365,4,1833.66004942
102,280,4,2980.81004329
103,337,4,2696.0200386300003
104,1125,1,562.460022
105,592,4,1228.92003255
106,381,3,1282.5600051
107,362,4,1796.78002154
108,210,5,2093.71005238
109,298,7,3798.20002364
110,349,3,2373.38004296
111,249,3,1553.9800300900001
112,244,7,2848.1000518399997
113,188,5,1515.76000216
114,636,4,2665.64004317
115,240,1,975.1200257
116,915,2,300.1999969
117,372,2,379.41001132
118,272,5,2516.54002766
119,741,7,3100.45006191
120,368,4,1911.41000372
121,572,2,764.10000988
122,636,5,1828.7599943999999
123,251,8,5835.68009962
124,151,5,3050.10004046
125,340,6,1919.91000757
126,228,6,2266.83000185
127,699,3,1308.97000112
128,582,2,418.9000092
129,168,3,2492.18003461
130,124,2,727.75001148
131,256,3,1475.76999666
132,687,2,1346.32003015
133,136,4,1610.5299948900001
134,162,5,2306.79001055
135,602,1,299.980011
136,445,3,1493.1800288499999
137,402,6,2472.7900239
138,286,5,2147.66003795
139,257,6,3237.89004138
140,188,6,4125.66003403
141,447,7,3603.69005968
142,239,5,4911.64007577
143,200,1,611.3999939
144,134,2,856.3500061
145,223,5,2287.98001485
146,156,7,2087.33997734
147,796,1,237.4100037
148,234,3,1882.2500304999999
149,663,4,2993.7800636399998
150,440,5,2350.9900360799998
151,355,4,2090.83003246
152,424,3,1500.2500153
153,134,2,1155.91002278
154,386,8,6207.5001184
155,184,4,2245.39000322
156,425,3,1849.75003816
157,259,3,2005.4800376599999
158,799,1,678.35999295
159,137,3,1190.89000031
160,292,4,1978.3200264
161,374,5,2342.80999744
162,556,2,1401.10001001
163,777,2,835.3100129
164,228,4,2312.02003492
165,434,5,3738.27005401
166,704,2,770.96000283
167,759,1,293.8800049
168,133,7,3020.9600449600002
169,427,3,2549.67002106
170,265,4,1643.09000006
171,259,3,1217.5400124
172,198,8,5966.41004192
173,181,8,5144.7100735799995
174,174,9,4692.8500824
175,206,6,4060.1000633
176,547,3,2230.80000674
177,202,1,588.9700164999999
179,188,3,1752.36001592
180,270,4,2763.16002278
181,253,6,3216.11998087
182,131,5,3227.68998512
183,854,1,630.58000564
184,370,5,2088.44000241
185,191,4,1540.18999863
186,442,2,1266.49002837
187,161,6,4266.01009366
188,227,6,2493.15001297
189,324,2,1622.5400085
190,162,5,3398.8500518700002
191,136,8,3042.2500306
192,203,7,4411.37004281
193,500,2,752.6900024
194,157,7,5074.37004853
195,741,2,1159.1600189
196,333,4,2894.3100225
197,123,9,5702.48007967
198,439,6,2226.03002162
199,327,6,3167.79002384
200,159,2,1274.46999361
201,298,2,139.58000183000001
202,142,4,1681.61999885
203,190,6,3981.78004074
204,165,4,1825.88000868
205,314,5,3595.11007109
206,195,7,3226.8800470799997
207,191,7,4063.8600195999998
208,534,2,1289.51002502
209,223,5,2822.06002042
210,332,7,3098.590017
211,188,3,1261.54001992
212,165,3,966.54001811
213,243,5,2804.83001323
214,368,7,3053.54000757
215,290,6,3403.16006846
216,283,3,2145.93003473
217,364,4,2213.87002946
218,145,4,2242.73001096
220,339,2,1221.6600226799999
221,125,13,5762.9400483
222,464,8,3968.2000867399997
223,125,5,3181.97003938
224,187,7,4050.40005892
225,700,5,3226.70004276
226,266,5,1990.260006
227,304,3,1320.48003004
228,124,5,3662.32006448
229,138,6,3112.11005022
230,225,7,6099.12007929
231,555,4,1726.38001631
232,155,4,2283.25002673
233,171,5,3519.08002094
234,317,3,1857.97001075
235,273,4,2399.2500419
236,355,4,3398.7200164299998
237,771,2,885.6200028000001
238,296,7,5159.04005066
239,574,4,1368.95001984
240,511,3,838.93000029
241,123,7,4809.23001106
242,170,7,4530.14009868
243,236,4,2360.93000803
244,832,4,2391.83002465
245,503,6,4744.32005501
246,744,3,1548.44004058
247,381,6,4469.64009111
248,200,6,2627.22998811
249,156,3,1832.6600189
250,142,3,1395.15002434
251,423,5,1408.30000694
252,304,5,4241.62006183
253,422,1,249.10999683
254,132,8,4407.17006675
255,670,5,3066.77001191
256,354,10,3601.8400192
